date,part_id,part_name,quantity_used,stock_on_hand,lead_time_days,unit_cost,seasonal_factor,weekly_factor
2023-01-01,ENG-001,Engine Oil Filter,14,496,3,12.5,1.0051640068467504,0.7
2023-01-01,BRA-002,Brake Pads,6,484,7,45.0,1.0051640068467504,0.7
2023-01-01,AIR-003,Air Filter,9,466,5,18.75,1.0051640068467504,0.7
2023-01-01,SPA-004,Spark Plugs,4,483,4,8.5,1.0051640068467504,0.7
2023-01-01,BAT-005,Car Battery,2,480,10,120.0,1.0051640068467504,0.7
2023-01-01,TIR-006,Tire Set,1,454,14,350.0,1.0051640068467504,0.7
2023-01-01,BEL-007,Timing Belt,0,451,21,85.0,1.0051640068467504,0.7
2023-01-01,FLU-008,Transmission Fluid,2,469,6,15.25,1.0051640068467504,0.7
2023-01-01,RAD-009,Radiator Coolant,13,497,4,22.0,1.0051640068467504,0.7
2023-01-01,WIN-010,Windshield Wipers,3,500,3,28.5,1.0051640068467504,0.7
2023-01-02,ENG-001,Engine Oil Filter,21,489,3,12.5,1.0103264834868237,1.0
2023-01-02,BRA-002,Brake Pads,6,500,7,45.0,1.0103264834868237,1.0
2023-01-02,AIR-003,Air Filter,16,451,5,18.75,1.0103264834868237,1.0
2023-01-02,SPA-004,Spark Plugs,5,467,4,8.5,1.0103264834868237,1.0
2023-01-02,BAT-005,Car Battery,4,480,10,120.0,1.0103264834868237,1.0
2023-01-02,TIR-006,Tire Set,2,483,14,350.0,1.0103264834868237,1.0
2023-01-02,BEL-007,Timing Belt,0,487,21,85.0,1.0103264834868237,1.0
2023-01-02,FLU-008,Transmission Fluid,5,473,6,15.25,1.0103264834868237,1.0
2023-01-02,RAD-009,Radiator Coolant,7,455,4,22.0,1.0103264834868237,1.0
2023-01-02,WIN-010,Windshield Wipers,5,476,3,28.5,1.0103264834868237,1.0
2023-01-03,ENG-001,Engine Oil Filter,21,488,3,12.5,1.015485900166976,1.0
2023-01-03,BRA-002,Brake Pads,8,492,7,45.0,1.015485900166976,1.0
2023-01-03,AIR-003,Air Filter,13,459,5,18.75,1.015485900166976,1.0
2023-01-03,SPA-004,Spark Plugs,6,485,4,8.5,1.015485900166976,1.0
2023-01-03,BAT-005,Car Battery,4,476,10,120.0,1.015485900166976,1.0
2023-01-03,TIR-006,Tire Set,2,459,14,350.0,1.015485900166976,1.0
2023-01-03,BEL-007,Timing Belt,1,486,21,85.0,1.015485900166976,1.0
2023-01-03,FLU-008,Transmission Fluid,2,474,6,15.25,1.015485900166976,1.0
2023-01-03,RAD-009,Radiator Coolant,14,462,4,22.0,1.015485900166976,1.0
2023-01-03,WIN-010,Windshield Wipers,7,471,3,28.5,1.015485900166976,1.0
2023-01-04,ENG-001,Engine Oil Filter,10,472,3,12.5,1.020640728040696,1.0
2023-01-04,BRA-002,Brake Pads,7,473,7,45.0,1.020640728040696,1.0
2023-01-04,AIR-003,Air Filter,15,475,5,18.75,1.020640728040696,1.0
2023-01-04,SPA-004,Spark Plugs,4,476,4,8.5,1.020640728040696,1.0
2023-01-04,BAT-005,Car Battery,4,492,10,120.0,1.020640728040696,1.0
2023-01-04,TIR-006,Tire Set,2,473,14,350.0,1.020640728040696,1.0
2023-01-04,BEL-007,Timing Belt,0,461,21,85.0,1.020640728040696,1.0
2023-01-04,FLU-008,Transmission Fluid,5,474,6,15.25,1.020640728040696,1.0
2023-01-04,RAD-009,Radiator Coolant,11,466,4,22.0,1.020640728040696,1.0
2023-01-04,WIN-010,Windshield Wipers,4,457,3,28.5,1.020640728040696,1.0
2023-01-05,ENG-001,Engine Oil Filter,24,460,3,12.5,1.025789439621234,1.0
2023-01-05,BRA-002,Brake Pads,7,498,7,45.0,1.025789439621234,1.0
2023-01-05,AIR-003,Air Filter,11,480,5,18.75,1.025789439621234,1.0
2023-01-05,SPA-004,Spark Plugs,5,496,4,8.5,1.025789439621234,1.0
2023-01-05,BAT-005,Car Battery,4,500,10,120.0,1.025789439621234,1.0
2023-01-05,TIR-006,Tire Set,2,467,14,350.0,1.025789439621234,1.0
2023-01-05,BEL-007,Timing Belt,1,485,21,85.0,1.025789439621234,1.0
2023-01-05,FLU-008,Transmission Fluid,5,488,6,15.25,1.025789439621234,1.0
2023-01-05,RAD-009,Radiator Coolant,12,464,4,22.0,1.025789439621234,1.0
2023-01-05,WIN-010,Windshield Wipers,6,461,3,28.5,1.025789439621234,1.0
2023-01-06,ENG-001,Engine Oil Filter,19,493,3,12.5,1.0309305092342305,1.0
2023-01-06,BRA-002,Brake Pads,8,474,7,45.0,1.0309305092342305,1.0
2023-01-06,AIR-003,Air Filter,20,467,5,18.75,1.0309305092342305,1.0
2023-01-06,SPA-004,Spark Plugs,6,498,4,8.5,1.0309305092342305,1.0
2023-01-06,BAT-005,Car Battery,2,468,10,120.0,1.0309305092342305,1.0
2023-01-06,TIR-006,Tire Set,2,490,14,350.0,1.0309305092342305,1.0
2023-01-06,BEL-007,Timing Belt,0,496,21,85.0,1.0309305092342305,1.0
2023-01-06,FLU-008,Transmission Fluid,4,466,6,15.25,1.0309305092342305,1.0
2023-01-06,RAD-009,Radiator Coolant,18,456,4,22.0,1.0309305092342305,1.0
2023-01-06,WIN-010,Windshield Wipers,5,474,3,28.5,1.0309305092342305,1.0
2023-01-07,ENG-001,Engine Oil Filter,11,458,3,12.5,1.0360624134698058,0.7
2023-01-07,BRA-002,Brake Pads,3,489,7,45.0,1.0360624134698058,0.7
2023-01-07,AIR-003,Air Filter,10,488,5,18.75,1.0360624134698058,0.7
2023-01-07,SPA-004,Spark Plugs,5,484,4,8.5,1.0360624134698058,0.7
2023-01-07,BAT-005,Car Battery,2,471,10,120.0,1.0360624134698058,0.7
2023-01-07,TIR-006,Tire Set,1,462,14,350.0,1.0360624134698058,0.7
2023-01-07,BEL-007,Timing Belt,0,481,21,85.0,1.0360624134698058,0.7
2023-01-07,FLU-008,Transmission Fluid,3,488,6,15.25,1.0360624134698058,0.7
2023-01-07,RAD-009,Radiator Coolant,7,488,4,22.0,1.0360624134698058,0.7
2023-01-07,WIN-010,Windshield Wipers,3,493,3,28.5,1.0360624134698058,0.7
2023-01-08,ENG-001,Engine Oil Filter,17,475,3,12.5,1.0411836316339795,0.7
2023-01-08,BRA-002,Brake Pads,5,489,7,45.0,1.0411836316339795,0.7
2023-01-08,AIR-003,Air Filter,7,472,5,18.75,1.0411836316339795,0.7
2023-01-08,SPA-004,Spark Plugs,3,473,4,8.5,1.0411836316339795,0.7
2023-01-08,BAT-005,Car Battery,3,451,10,120.0,1.0411836316339795,0.7
2023-01-08,TIR-006,Tire Set,1,500,14,350.0,1.0411836316339795,0.7
2023-01-08,BEL-007,Timing Belt,0,455,21,85.0,1.0411836316339795,0.7
2023-01-08,FLU-008,Transmission Fluid,2,481,6,15.25,1.0411836316339795,0.7
2023-01-08,RAD-009,Radiator Coolant,11,482,4,22.0,1.0411836316339795,0.7
2023-01-08,WIN-010,Windshield Wipers,5,452,3,28.5,1.0411836316339795,0.7
2023-01-09,ENG-001,Engine Oil Filter,19,467,3,12.5,1.0462926461992843,1.0
2023-01-09,BRA-002,Brake Pads,5,490,7,45.0,1.0462926461992843,1.0
2023-01-09,AIR-003,Air Filter,13,483,5,18.75,1.0462926461992843,1.0
2023-01-09,SPA-004,Spark Plugs,4,457,4,8.5,1.0462926461992843,1.0
2023-01-09,BAT-005,Car Battery,4,494,10,120.0,1.0462926461992843,1.0
2023-01-09,TIR-006,Tire Set,1,491,14,350.0,1.0462926461992843,1.0
2023-01-09,BEL-007,Timing Belt,0,464,21,85.0,1.0462926461992843,1.0
2023-01-09,FLU-008,Transmission Fluid,4,487,6,15.25,1.0462926461992843,1.0
2023-01-09,RAD-009,Radiator Coolant,16,485,4,22.0,1.0462926461992843,1.0
2023-01-09,WIN-010,Windshield Wipers,5,477,3,28.5,1.0462926461992843,1.0
2023-01-10,ENG-001,Engine Oil Filter,22,468,3,12.5,1.0513879432544433,1.0
2023-01-10,BRA-002,Brake Pads,7,474,7,45.0,1.0513879432544433,1.0
2023-01-10,AIR-003,Air Filter,11,481,5,18.75,1.0513879432544433,1.0
2023-01-10,SPA-004,Spark Plugs,5,459,4,8.5,1.0513879432544433,1.0
2023-01-10,BAT-005,Car Battery,5,473,10,120.0,1.0513879432544433,1.0
2023-01-10,TIR-006,Tire Set,2,463,14,350.0,1.0513879432544433,1.0
2023-01-10,BEL-007,Timing Belt,1,485,21,85.0,1.0513879432544433,1.0
2023-01-10,FLU-008,Transmission Fluid,4,479,6,15.25,1.0513879432544433,1.0
2023-01-10,RAD-009,Radiator Coolant,15,475,4,22.0,1.0513879432544433,1.0
2023-01-10,WIN-010,Windshield Wipers,6,474,3,28.5,1.0513879432544433,1.0
2023-01-11,ENG-001,Engine Oil Filter,15,461,3,12.5,1.0564680129529733,1.0
